store_id,store_name,store_area,address,postal_code,prefecture,city,phone_number,email,business_hours,closed_days,manager_id,opening_date,status
1,港区店,関東,東京都港区1-7-5,358-7495,東京都,港区,03-4795-6087,store1@example.com,10:00-21:00,火曜日,203,2020-04-06,ACTIVE
2,横浜市店,関東,神奈川県横浜市1-7-3,356-7586,神奈川県,横浜市,03-8233-7287,store2@example.com,10:00-21:00,なし,177,2020-04-15,ACTIVE
3,大阪市店,関西,大阪府大阪市1-9-1,575-3527,大阪府,大阪市,03-5545-2059,store3@example.com,10:00-21:00,火曜日,410,2020-04-08,ACTIVE
4,名古屋市店,中部,愛知県名古屋市1-8-3,883-3798,愛知県,名古屋市,03-8670-3738,store4@example.com,10:00-21:00,火曜日,331,2020-10-23,ACTIVE
5,札幌市店,北海道,北海道札幌市1-10-7,153-4922,北海道,札幌市,03-4788-5970,store5@example.com,10:00-21:00,火曜日,700,2020-07-12,ACTIVE
6,港区店,関東,東京都港区1-1-9,507-2682,東京都,港区,03-7412-6582,store6@example.com,10:00-21:00,なし,279,2020-04-06,ACTIVE
7,川崎市店,関東,神奈川県川崎市1-6-3,104-2759,神奈川県,川崎市,03-6033-3589,store7@example.com,10:00-21:00,火曜日,129,2020-11-08,ACTIVE
8,大阪市店,関西,大阪府大阪市1-20-10,813-6534,大阪府,大阪市,03-9581-7112,store8@example.com,10:00-21:00,火曜日,199,2020-02-17,ACTIVE
9,名古屋市店,中部,愛知県名古屋市1-3-5,602-9907,愛知県,名古屋市,03-5582-9404,store9@example.com,10:00-21:00,なし,462,2020-10-11,ACTIVE
10,札幌市店,北海道,北海道札幌市1-17-7,978-7223,北海道,札幌市,03-1412-7408,store10@example.com,10:00-21:00,水曜日,235,2020-11-05,ACTIVE
